WI,WO,FRAC_W,ACC_W,CORDIC_STAGES,max_eig_rmse,max_vec_rmse,overflow,pass,area_proxy,cycle_proxy,at_proxy
16,16,10,30,10,0.0315585630773738,0.0157947285784206,0,0,1524,1015,1546860
16,16,10,30,11,0.0260776893696204,0.0160966477103633,0,0,1530,1099,1681470
16,16,10,30,12,0.0287677404772422,0.0183947695005997,0,0,1536,1183,1817088
16,16,10,30,13,0.046926665121503,0.0136065692032038,0,0,1542,1267,1953714
16,16,10,30,14,0.0381219117916211,0.0157209213769936,0,0,1548,1351,2091348
16,16,10,30,15,0.0376438684289272,0.0175376815368604,0,0,1554,1435,2229990
16,16,10,30,16,0.055378648484134,0.0169038442359659,0,0,1560,1519,2369640
16,16,11,26,8,0.0194011102685872,0.0287987174693162,0,0,1344,847,1138368
16,16,11,26,9,0.0066377997595108,0.0155592767751776,0,0,1350,931,1256850
16,16,11,26,10,0.00976515777538985,0.0100146626475081,0,0,1356,1015,1376340
16,16,11,26,11,0.0119075802577281,0.00976080872741986,0,0,1362,1099,1496838
16,16,11,26,12,0.0148383566777902,0.0116794030057692,0,0,1368,1183,1618344
16,16,11,26,13,0.0172206027154674,0.0116765948220618,0,0,1374,1267,1740858
16,16,11,26,14,0.0181728276069828,0.00846097352466234,0,0,1380,1351,1864380
16,16,11,26,15,0.015327516980645,0.0103728233933689,0,0,1386,1435,1988910
16,16,11,26,16,0.02740885175787,0.00841830629332406,0,0,1392,1519,2114448
16,16,11,27,8,0.0194011102685872,0.0287987174693162,0,0,1386,847,1173942
16,16,11,27,9,0.0066377997595108,0.0155592767751776,0,0,1392,931,1295952
16,16,11,27,10,0.00976515777538985,0.0100146626475081,0,0,1398,1015,1418970
16,16,11,27,11,0.0119075802577281,0.00976080872741986,0,0,1404,1099,1542996
16,16,11,27,12,0.0148383566777902,0.0116794030057692,0,0,1410,1183,1668030
16,16,11,27,13,0.0172206027154674,0.0116765948220618,0,0,1416,1267,1794072
16,16,11,27,14,0.0181728276069828,0.00846097352466234,0,0,1422,1351,1921122
16,16,11,27,15,0.015327516980645,0.0103728233933689,0,0,1428,1435,2049180
16,16,11,27,16,0.02740885175787,0.00841830629332406,0,0,1434,1519,2178246
16,16,11,28,8,0.0194011102685872,0.0287987174693162,0,0,1428,847,1209516
16,16,11,28,9,0.0066377997595108,0.0155592767751776,0,0,1434,931,1335054
16,16,11,28,10,0.00976515777538985,0.0100146626475081,0,0,1440,1015,1461600
16,16,11,28,11,0.0119075802577281,0.00976080872741986,0,0,1446,1099,1589154
16,16,11,28,12,0.0148383566777902,0.0116794030057692,0,0,1452,1183,1717716
16,16,11,28,13,0.0172206027154674,0.0116765948220618,0,0,1458,1267,1847286
16,16,11,28,14,0.0181728276069828,0.00846097352466234,0,0,1464,1351,1977864
16,16,11,28,15,0.015327516980645,0.0103728233933689,0,0,1470,1435,2109450
16,16,11,28,16,0.02740885175787,0.00841830629332406,0,0,1476,1519,2242044
16,16,11,29,8,0.0194011102685872,0.0287987174693162,0,0,1470,847,1245090
16,16,11,29,9,0.0066377997595108,0.0155592767751776,0,0,1476,931,1374156
16,16,11,29,10,0.00976515777538985,0.0100146626475081,0,0,1482,1015,1504230
16,16,11,29,11,0.0119075802577281,0.00976080872741986,0,0,1488,1099,1635312
16,16,11,29,12,0.0148383566777902,0.0116794030057692,0,0,1494,1183,1767402
16,16,11,29,13,0.0172206027154674,0.0116765948220618,0,0,1500,1267,1900500
16,16,11,29,14,0.0181728276069828,0.00846097352466234,0,0,1506,1351,2034606
16,16,11,29,15,0.015327516980645,0.0103728233933689,0,0,1512,1435,2169720
16,16,11,29,16,0.02740885175787,0.00841830629332406,0,0,1518,1519,2305842
16,16,11,30,8,0.0194011102685872,0.0287987174693162,0,0,1512,847,1280664
16,16,11,30,9,0.0066377997595108,0.0155592767751776,0,0,1518,931,1413258
16,16,11,30,10,0.00976515777538985,0.0100146626475081,0,0,1524,1015,1546860
16,16,11,30,11,0.0119075802577281,0.00976080872741986,0,0,1530,1099,1681470
16,16,11,30,12,0.0148383566777902,0.0116794030057692,0,0,1536,1183,1817088
16,16,11,30,13,0.0172206027154674,0.0116765948220618,0,0,1542,1267,1953714
16,16,11,30,14,0.0181728276069828,0.00846097352466234,0,0,1548,1351,2091348
16,16,11,30,15,0.015327516980645,0.0103728233933689,0,0,1554,1435,2229990
16,16,11,30,16,0.02740885175787,0.00841830629332406,0,0,1560,1519,2369640
16,16,12,26,8,Inf,Inf,1,0,1344,847,1138368
16,16,12,26,9,Inf,Inf,1,0,1350,931,1256850
16,16,12,26,10,Inf,Inf,1,0,1356,1015,1376340
16,16,12,26,11,Inf,Inf,1,0,1362,1099,1496838
16,16,12,26,12,Inf,Inf,1,0,1368,1183,1618344
16,16,12,26,13,Inf,Inf,1,0,1374,1267,1740858
16,16,12,26,14,Inf,Inf,1,0,1380,1351,1864380
16,16,12,26,15,Inf,Inf,1,0,1386,1435,1988910
16,16,12,26,16,Inf,Inf,1,0,1392,1519,2114448
16,16,12,27,8,Inf,Inf,1,0,1386,847,1173942
16,16,12,27,9,Inf,Inf,1,0,1392,931,1295952
16,16,12,27,10,Inf,Inf,1,0,1398,1015,1418970
16,16,12,27,11,Inf,Inf,1,0,1404,1099,1542996
16,16,12,27,12,Inf,Inf,1,0,1410,1183,1668030
16,16,12,27,13,Inf,Inf,1,0,1416,1267,1794072
16,16,12,27,14,Inf,Inf,1,0,1422,1351,1921122
16,16,12,27,15,Inf,Inf,1,0,1428,1435,2049180
16,16,12,27,16,Inf,Inf,1,0,1434,1519,2178246
16,16,12,28,8,Inf,Inf,1,0,1428,847,1209516
16,16,12,28,9,Inf,Inf,1,0,1434,931,1335054
16,16,12,28,10,Inf,Inf,1,0,1440,1015,1461600
16,16,12,28,11,Inf,Inf,1,0,1446,1099,1589154
16,16,12,28,12,Inf,Inf,1,0,1452,1183,1717716
16,16,12,28,13,Inf,Inf,1,0,1458,1267,1847286
16,16,12,28,14,Inf,Inf,1,0,1464,1351,1977864
16,16,12,28,15,Inf,Inf,1,0,1470,1435,2109450
16,16,12,28,16,Inf,Inf,1,0,1476,1519,2242044
16,16,12,29,8,Inf,Inf,1,0,1470,847,1245090
16,16,12,29,9,Inf,Inf,1,0,1476,931,1374156
