CORDIC_STAGES,max_eig_rmse,max_vec_rmse,overflow,pass
8,0.0156498574413845,0.0332728448307094,0,0
9,0.0054911401369338,0.0143395405366846,0,0
10,0.00542202345331972,0.00727421033031632,0,1
11,0.00599987685057589,0.00660067271906298,0,1
12,0.00551215445789526,0.00726457721108035,0,1
13,0.00674990376194262,0.00715163994761264,0,1
14,0.00732775712071609,0.00674655266668359,0,1
15,0.00775294167695983,0.00729504607156421,0,1
16,0.0104762935072837,0.00688423440144659,0,0
